episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
1,-1973.5,0.995,200,7.1,1.035,19
2,-1500.5,0.990025,200,6.3525,1.19,38
3,-1587.5,0.985074875,200,6.255,1.2033333333333334,58
4,-1367.5,0.9801495006250001,200,5.93625,1.2175,78
5,-1633.0,0.9752487531218751,200,5.951,1.183,98
6,-1645.0,0.9703725093562657,200,5.970833333333333,1.1375,118
7,-1951.0,0.9655206468094844,200,6.102857142857143,1.1357142857142857,139
8,-1420.0,0.960693043575437,200,6.02375,1.145625,158
9,-1645.5,0.9558895783575597,200,6.046666666666667,1.1372222222222221,176
10,-1162.0,0.9511101304657719,200,5.89,1.085,195
11,-1676.0,0.946354579813443,200,5.911363636363636,1.0627272727272727,214
12,-1846.5,0.9416228069143757,200,5.94,1.0941666666666667,234
13,-2173.0,0.9369146928798039,200,6.031923076923077,1.1057692307692308,254
14,-2069.0,0.9322301194154049,200,6.123571428571428,1.1039285714285714,272
15,-1546.5,0.9275689688183278,200,6.087,1.0933333333333333,294
16,-1549.5,0.9229311239742362,200,6.06625,1.1159375,314
17,-1185.5,0.918316468354365,200,5.975588235294118,1.1223529411764706,334
18,-1412.5,0.9137248860125932,200,5.951388888888889,1.1322222222222222,354
19,-1661.5,0.9091562615825302,200,5.950526315789474,1.1160526315789474,375
20,-1310.0,0.9046104802746175,200,5.91375,1.11475,394
21,-1868.5,0.9000874278732445,200,5.95452380952381,1.118809523809524,413
22,-1929.0,0.8955869907338783,200,6.0075,1.1197727272727274,432
23,-1710.0,0.8911090557802088,200,6.0015217391304345,1.1276086956521738,452
24,-1473.0,0.8866535105013078,200,5.987708333333333,1.1289583333333333,472
25,-1243.0,0.8822202429488013,200,5.9432,1.1304,493
26,-1482.0,0.8778091417340573,200,5.913076923076923,1.15,514
27,-1281.0,0.8734200960253871,200,5.891851851851852,1.1411111111111112,534
28,-1329.5,0.8690529955452602,200,5.863571428571428,1.1544642857142857,553
29,-1433.5,0.8647077305675338,200,5.857241379310345,1.148793103448276,572
30,-1449.0,0.8603841919146962,200,5.8395,1.157,592
31,-1305.0,0.8560822709551227,200,5.827096774193548,1.147258064516129,611
32,-1919.5,0.851801859600347,200,5.869375,1.14640625,629
33,-1524.5,0.8475428503023453,200,5.866212121212121,1.1404545454545454,650
34,-1367.5,0.8433051360508336,200,5.851764705882353,1.1413235294117647,670
35,-1779.5,0.8390886103705794,200,5.8701428571428576,1.147857142857143,691
36,-1037.5,0.8348931673187264,200,5.834444444444444,1.1441666666666668,712
