episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
1,-999.5,0.995,200,4.125,1.105,19
2,-2170.0,0.99,200,7.66,1.135,18
3,-1885.5,0.9851,200,6.48,0.87,19
4,-1299.0,0.9801,200,5.22,1.0,20
5,-2123.5,0.9752,200,7.565,0.835,21
6,-1371.0,0.9704,200,5.655,1.145,21
7,-1940.0,0.9655,200,6.64,1.19,20
8,-1401.0,0.9607,200,4.795,1.2,21
9,-2164.5,0.9559,200,8.125,1.0,19
10,-2785.5,0.9511,200,9.11,1.165,19
11,-1753.5,0.9464,200,6.205,1.305,20
12,-2073.5,0.9416,200,6.725,1.755,20
13,-1646.0,0.9369,200,6.465,0.7,18
14,-1327.5,0.9322,200,5.2,1.2,21
15,-1275.0,0.9276,200,5.385,1.025,19
16,-1408.5,0.9229,200,5.355,1.27,19
17,-1187.5,0.9183,200,4.47,1.485,21
18,-1451.5,0.9137,200,5.065,1.3,19
19,-1335.0,0.9092,200,5.205,1.125,20
20,-1030.5,0.9046,200,4.585,0.865,21
21,-936.5,0.9001,200,4.015,1.465,20
22,-1854.5,0.8956,200,6.77,1.42,20
23,-1616.0,0.8911,200,5.995,1.075,20
24,-1515.5,0.8867,200,5.405,1.105,21
25,-1693.5,0.8822,200,6.335,1.185,19
26,-1881.5,0.8778,200,6.58,1.005,19
27,-1694.0,0.8734,200,6.47,1.35,20
28,-2642.5,0.8691,200,9.175,1.34,20
29,-2049.0,0.8647,200,7.14,1.045,21
30,-1233.5,0.8604,200,4.605,1.59,19
31,-1700.5,0.8561,200,6.355,1.235,21
32,-1116.5,0.8518,200,4.91,1.06,20
33,-1677.0,0.8475,200,6.495,0.915,21
34,-1320.0,0.8433,200,5.185,0.82,20
35,-1674.0,0.8391,200,6.045,0.82,19
36,-1726.0,0.8349,200,6.335,1.095,18
37,-1270.0,0.8307,200,5.03,1.14,19
38,-1352.0,0.8266,200,5.685,0.97,21
39,-1432.0,0.8224,200,5.805,1.19,19
40,-1200.5,0.8183,200,4.66,0.88,20
41,-1269.5,0.8142,200,5.02,1.335,20
42,-2273.5,0.8102,200,7.83,0.97,19
43,-902.5,0.8061,200,4.45,0.975,21
44,-1502.0,0.8021,200,5.765,0.85,20
45,-1613.5,0.7981,200,6.115,1.42,19
46,-1398.5,0.7941,200,5.6,0.805,19
47,-1594.5,0.7901,200,6.215,1.59,21
48,-1377.5,0.7862,200,5.33,1.115,20
49,-1269.5,0.7822,200,5.325,0.695,21
50,-1381.0,0.7783,200,5.655,1.355,21
51,-1581.0,0.7744,200,6.165,0.795,21
52,-1197.5,0.7705,200,5.025,0.97,20
53,-1099.5,0.7667,200,4.815,0.895,20
54,-1390.0,0.7629,200,5.965,1.075,21
55,-1746.0,0.759,200,6.745,0.78,20
56,-1490.5,0.7553,200,5.505,1.115,21
57,-1430.5,0.7515,200,5.86,0.865,22
58,-1204.0,0.7477,200,4.905,0.995,21
59,-1378.0,0.744,200,5.695,1.175,21
60,-1419.5,0.7403,200,5.65,1.015,21
61,-1838.0,0.7366,200,6.775,1.105,20
62,-1364.5,0.7329,200,5.725,0.95,22
63,-1496.5,0.7292,200,5.875,1.015,21
64,-1187.0,0.7256,200,5.33,1.025,19
65,-881.5,0.7219,200,4.445,0.64,21
66,-1940.0,0.7183,200,7.325,0.755,20
67,-1636.5,0.7147,200,6.145,1.085,20
68,-2243.5,0.7112,200,8.02,0.96,20
69,-717.0,0.7076,200,4.155,0.945,21
70,-924.0,0.7041,200,4.645,1.05,21
71,-1202.0,0.7005,200,4.93,1.15,20
72,-1168.0,0.697,200,5.74,0.805,20
73,-1109.5,0.6936,200,5.155,1.03,21
74,-1299.5,0.6901,200,5.425,1.17,20
75,-1668.0,0.6866,200,6.02,1.34,20
76,-1114.5,0.6832,200,5.065,1.05,21
77,-1177.0,0.6798,200,5.715,0.755,20
78,-1159.0,0.6764,200,5.495,0.805,20
79,-1241.0,0.673,200,5.005,0.86,21
80,-1437.5,0.6696,200,5.57,1.55,21
81,-1218.5,0.6663,200,4.74,0.745,21
82,-798.0,0.663,200,4.39,0.74,21
83,-1061.5,0.6597,200,5.43,1.075,21
84,-1091.5,0.6564,200,4.955,1.05,20
85,-1371.5,0.6531,200,5.83,0.895,20
86,-1495.0,0.6498,200,5.875,1.5,18
87,-1200.0,0.6466,200,5.195,0.905,20
88,-1087.0,0.6433,200,5.125,0.865,21
89,-1137.5,0.6401,200,5.335,0.83,20
90,-1257.5,0.6369,200,5.22,1.34,19
91,-1285.5,0.6337,200,5.495,0.95,19
92,-1109.5,0.6306,200,5.31,1.13,20
93,-984.0,0.6274,200,4.605,0.99,20
94,-1071.5,0.6243,200,5.23,1.075,20
95,-953.5,0.6211,200,4.16,1.045,21
96,-1007.0,0.618,200,4.83,0.95,20
97,-1548.0,0.6149,200,6.37,1.245,20
98,-827.5,0.6119,200,4.17,1.035,21
99,-1066.5,0.6088,200,5.15,1.115,21
100,-1298.5,0.6058,200,5.425,0.94,19
101,-1016.5,0.6027,200,4.8,0.88,22
102,-869.5,0.5997,200,4.665,0.75,20
103,-1001.0,0.5967,200,4.745,0.845,22
104,-1003.5,0.5937,200,5.08,0.805,21
105,-1201.0,0.5908,200,5.42,0.94,21
